objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
c.ix-p.49,canto_ix,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.49-C.IX.jpg,objects/small/MF-p.49-C.IX.jpg,objects/thumbs/MF-p.49-C.IX.jpg,,
canto_x,,Canto X - Cruz,,José Hernández,Imprenta de La Pampa,1872,<i>El Gaucho Martín Fierro</i> por José Hernández,verso; impreso; Cruz; la mujer,Buenos Aires,-34.6,-58.4333,University of California,,,p.49-54,,,español,transcripciones,,objects/small/MF-p.49-C.X.jpg,objects/thumbs/MF-p.49-C.X.jpg,,/objects/transcripciones/mf-c10.html
c.x-p.49,canto_x,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.49-C.X.jpg,objects/small/MF-p.49-C.X.jpg,objects/thumbs/MF-p.49-C.X.jpg,,
c.x-p.50,canto_x,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.50-C.X.jpg,objects/small/MF-p.50-C.X.jpg,objects/thumbs/MF-p.50-C.X.jpg,,
c.x-p.51,canto_x,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.51-C.X.jpg,objects/small/MF-p.51-C.X.jpg,objects/thumbs/MF-p.51-C.X.jpg,,
c.x-p.52,canto_x,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.52-C.X.jpg,objects/small/MF-p.52-C.X.jpg,objects/thumbs/MF-p.52-C.X.jpg,,
c.x-p.53,canto_x,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.53-C.X.jpg,objects/small/MF-p.53-C.X.jpg,objects/thumbs/MF-p.53-C.X.jpg,,
c.x-p.54,canto_x,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.54-C.X.jpg,objects/small/MF-p.54-C.X.jpg,objects/thumbs/MF-p.54-C.X.jpg,,
canto_xi,,Canto XI,,José Hernández,Imprenta de La Pampa,1872,<i>El Gaucho Martín Fierro</i> por José Hernández,verso; impreso; en un baile; Cruz,Buenos Aires,-34.6,-58.4333,University of California,,,p.54-57,,,español,transcripciones,,objects/small/MF-p.54-C.XI.jpg,objects/thumbs/MF-p.54-C.XI.jpg,,/objects/transcripciones/mf-c11.html
c.xi-p.54,canto_xi,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.54-C.XI.jpg,objects/small/MF-p.54-C.XI.jpg,objects/thumbs/MF-p.54-C.XI.jpg,,
c.xi-p.55,canto_xi,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.55-C.XI.jpg,objects/small/MF-p.55-C.XI.jpg,objects/thumbs/MF-p.55-C.XI.jpg,,
c.xi-p.56,canto_xi,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.56-C.XI.jpg,objects/small/MF-p.56-C.XI.jpg,objects/thumbs/MF-p.56-C.XI.jpg,,
c.xi-p.57,canto_xi,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,objects/MF-p.57-C.XI.jpg,objects/small/MF-p.57-C.XI.jpg,objects/thumbs/MF-p.57-C.XI.jpg,,
canto_xii,,Canto XII,,José Hernández,Imprenta de La Pampa,1872,<i>El Gaucho Martín Fierro</i> por José Hernández,verso; impreso; Cruz,Buenos Aires,-34.6,-58.4333,University of California,,,p.57-60,,,español,transcripciones,,objects/small/MF-p.57-C.XII.jpg,objects/thumbs/MF-p.57-C.XII.jpg,,/objects/transcripciones/mf-c12.html
