id,text
97,Hace referencia a lo que no suena o no se hace oír. 
98,Huir de la justicia y vivir como prófugo.
99,Ave de rapiña de 50 cm de longitud con cola generalmente pardusca y capuchón más oscuro; se alimenta de animales muertos insectos reptiles etc.; ataca a los corderos y animales enfermos. Fuente: Oxford Languages.
100,Lastimar con elemento cortopunzante.
101,Error que se comete por descuido.
102,Pequeño grupo de tropas que hace la descubierta. Fuente: diccionario RAE.
103,Ave zancuda de hasta 90 cm de largo de color gris con un anillo negro en el cuello un pequeño copete y fuertes patas de color rojo; habita en campo abierto en zonas con agua se alimenta de vegetales y pequeños invertebrados acuáticos y pone hasta seis huevos; tiene un grito penetrante que convertido en onomatopeya ha dado lugar a su nombre; se domestica con facilidad. Fuente: Oxford Languages.
104,Cobarde.
105,Armadillo.
106,Frasco de ginebra. Fuente: glosario gauchesco.
107,Quitarse.
108,Indica cuando alguien con autoridad ordena que otro se entregue.
109,Hace referencia a que la policía no le tendrá piedad.
110,Indigno-descarado. 
111,Altanero.
112,Caña utilizada como lanza que puede tener sujeto en un extremo un objeto cortopunzante.
113,Pareja de personas.
114,Vaso alto y redondo ordinariamente de estaño algo más ancho del suelo que de la boca y con su tapa engoznada en el remate del asa. Fuente: diccionario RAE.
115,Recipiente hecho de asta de vacuno que se usa para transportar y beber líquidos o para tomar mate. Fuente: diccionario de americanismos. 
116,Gusano parásito.
117,En pl. piernas de una persona.
118,Bolsa o recipiente de variado tamaño hecho de cuero o de madera destinado a la conservación o transporte de líquidos o cereales. Fuente: Oxford languages.
119,Mal olor u olor intenso.
120,Roncha que surge por recibir un latigazo.
121,Variante del fandango que es un baile popular de origen español de movimiento vivo y apasionado.
122,Guitarra.
123,Enredo; caos; confusión; embrollo. 
124,Tonel en que se conservan las bebidas. Fuente: glosario gauchesco.
125,Lonjear: hacer lonjas de cuero después de descarnarlo y rasparle el pelo sin levantar la piel. Fuente: diccionario de americanismos.
126,Sable.
127,De manera dura y severa en el trato. Fuente: diccionario RAE.
128,Mala suerte.
129,Proveerse o hacerse de algo.
130,Lugar al aire libre. Depresión del terreno.
131,Enfrentar con coraje el peligro.
