key,city,country,latitude,longitude,comment,annotation
ayacuho,Ayacucho,Argentina,-37.15246,-58.48824,,"Ayacucho fue fundada por José Zoilo Miguens el 22 de Junio de 1866, amigo íntimo de José Hernandez, el cual le dedicó en diciembre de 1872 la primera edición de su obra Martin Fierro. Su economía dependía de la ganadería extensiva y la exportación de lanas. La vida cotidiana era rural, dominada por estancias. Formaba parte del itinerario de galeras, antes de la llegada del ferrocarril."
palermo,Palermo,Argentina,-34.57333333,-58.41472222,,"Palermo hace referencia a ""San Benito de Palermo"", la casona y quinta de Rosas hasta su destierro. Posteriormente en parte de sus terrenos se construyó la Penitenciaría Nacional y la sede del Colegio Militar de la Nación. Por esto, Martín Fierro lo asocia a un lugar de castigo."
